Symptom,weight
itching,1
skin_rash,3
continuous_sneezing,4
shivering,5
chills,3
stomach_pain,5
acidity,3
muscle_wasting,3
vomiting,5
burning_micturition,6
spotting_urination,6
fatigue,4
anxiety,4
weight_loss,3
restlessness,5
lethargy,2
patches_in_throat,6
irregular_sugar_level,5
cough,4
high_fever,7
sunken_eyes,3
breathlessness,4
sweating,3
dehydration,4
indigestion,5
headache,3
yellowish_skin,3
dark_urine,4
nausea,5
loss_of_appetite,4
constipation,4
abdominal_pain,4
diarrhoea,6
mild_fever,5
yellowing_of_eyes,4
swelled_lymph_nodes,6
malaise,6
blurred_and_distorted_vision,5
phlegm,5
throat_irritation,4
redness_of_eyes,5
sinus_pressure,4
runny_nose,5
congestion,5
chest_pain,7
fast_heart_rate,5
dizziness,4
obesity,4
excessive_hunger,4
extra_marital_contacts,5
drying_and_tingling_lips,4
slurred_speech,4
muscle_weakness,2
stiff_neck,4
swelling_joints,5
movement_stiffness,5
loss_of_balance,4
weakness_of_one_body_side,4
loss_of_smell,3
bladder_discomfort,4
foul_smell_of_urine,5
continuous_feel_of_urine,6
toxic_look_(typhos),5
depression,3
irritability,2
muscle_pain,2
altered_sensorium,2
red_spots_over_body,3
belly_pain,4
watering_from_eyes,4
increased_appetite,5
polyuria,4
family_history,5
mucoid_sputum,4
rusty_sputum,4
lack_of_concentration,3
visual_disturbances,3
blood_in_sputum,5
palpitations,4
painful_walking,2
